filename,width,height,frame_idx,timestamp_sec
frame_00000000.jpg,1280,720,0,0.0
frame_00000025.jpg,1280,720,25,1.0
frame_00000050.jpg,1280,720,50,2.0
frame_00000075.jpg,1280,720,75,3.0
frame_00000100.jpg,1280,720,100,4.0
frame_00000125.jpg,1280,720,125,5.0
frame_00000150.jpg,1280,720,150,6.0
frame_00000175.jpg,1280,720,175,7.0
frame_00000200.jpg,1280,720,200,8.0
frame_00000225.jpg,1280,720,225,9.0
frame_00000250.jpg,1280,720,250,10.0
frame_00000275.jpg,1280,720,275,11.0
frame_00000300.jpg,1280,720,300,12.0
frame_00000325.jpg,1280,720,325,13.0
frame_00000350.jpg,1280,720,350,14.0
frame_00000375.jpg,1280,720,375,15.0
frame_00000400.jpg,1280,720,400,16.0
frame_00000425.jpg,1280,720,425,17.0
frame_00000450.jpg,1280,720,450,18.0
frame_00000475.jpg,1280,720,475,19.0
frame_00000500.jpg,1280,720,500,20.0
frame_00000525.jpg,1280,720,525,21.0
frame_00000550.jpg,1280,720,550,22.0
frame_00000575.jpg,1280,720,575,23.0
frame_00000600.jpg,1280,720,600,24.0
frame_00000625.jpg,1280,720,625,25.0
frame_00000650.jpg,1280,720,650,26.0
frame_00000675.jpg,1280,720,675,27.0
frame_00000700.jpg,1280,720,700,28.0
frame_00000725.jpg,1280,720,725,29.0
frame_00000750.jpg,1280,720,750,30.0
frame_00000775.jpg,1280,720,775,31.0
frame_00000800.jpg,1280,720,800,32.0
frame_00000825.jpg,1280,720,825,33.0
frame_00000850.jpg,1280,720,850,34.0
frame_00000875.jpg,1280,720,875,35.0
frame_00000900.jpg,1280,720,900,36.0
frame_00000925.jpg,1280,720,925,37.0
frame_00000950.jpg,1280,720,950,38.0
frame_00000975.jpg,1280,720,975,39.0
frame_00001000.jpg,1280,720,1000,40.0
frame_00001025.jpg,1280,720,1025,41.0
frame_00001050.jpg,1280,720,1050,42.0
frame_00001075.jpg,1280,720,1075,43.0
frame_00001100.jpg,1280,720,1100,44.0
frame_00001125.jpg,1280,720,1125,45.0
frame_00001150.jpg,1280,720,1150,46.0
frame_00001175.jpg,1280,720,1175,47.0
frame_00001200.jpg,1280,720,1200,48.0
frame_00001225.jpg,1280,720,1225,49.0
frame_00001250.jpg,1280,720,1250,50.0
frame_00001275.jpg,1280,720,1275,51.0
